,AUDIT_COMMITTEE_MEETINGS,SAY_PAY_SUPPORT_LEVEL,TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV,TOTAL_EXEC_PAY_AS_PCT_OPEX,TOT_SALARIES_PAID_TO_CEO_&_EQUIV,TOT_SALARIES_&_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,SAY_PAY_NUMBER_OF_VOTES_FOR,TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP,TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ,PCT_BOD_COMP_PD_IN_STK_AWD,NUM_EXECUTIVE_CHANGES,AVERAGE_BOD_TOTAL_COMPENSATION,ESG_DISCLOSURE_SCORE,CFO_TENURE_AS_OF_FY_END,CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR,CLAWBACK_PROVISION_FOR_EXEC_COMP,GENDER_PAY_GAP_BREAKOUT,BLANK_CHECK_PREFERRED_AUTHORIZED,Dates,Entreprises
45,5.49996093316414,81.89260720906596,13002.5363164911,0.18124409318303916,1552569.971114634,5749401.335587966,1912055.6586947981,560.127291903227,0.31994084084070556,220199.74432712997,0.19571668893386798,1253311.4939084353,15.360629954851314,2.5000438057720498,106157.36520107144,38.4298,3.083276967377848,1.170723435998495e-05,0.9998966356852861,0.0,0.9999998830163185,2005-12-31,22
46,4.250002158259012,82.43456320854355,141915.9536518275,0.15849995992149638,807500.5564951857,3770556.7223234545,1942099.4159243354,576.2936845157229,0.17337491622631224,419367.5958455935,0.2944749555533834,1273004.5326987794,15.795089749736661,1.4999955937629432,27886.362607178296,38.843,3.374095706175408,0.0,2.9285194679238923e-06,0.0,1.000000076311796,2006-12-31,22
47,3.0000351814016493,94.50890478258066,1902582.3,0.0157,600000.0,2310000.0,508867.1832027532,1792.9915854644955,1.5382471385035925,14060.3873240899,0.1775,411165.80954764906,7.618635516496397,0.0,118107.1429,43.3884,7.216203089632914,0.0361966877945051,0.0,0.0,5.7373449502078293e-11,2007-12-31,22
48,7.000011866083497,92.20541657153265,2036308.24,0.0118,600000.0,2110000.0,261476.22524638684,1122.995468724438,0.6482005750650602,14227.73450638708,0.1511,211273.36833599219,7.559550980299225,0.0,91993.4144,49.1736,6.415845569324422,0.9999935000422497,0.0,0.0,4.328133470065892e-12,2008-12-31,22
49,11.487990178389026,94.77997544152636,1411614.18,0.0096,600000.0,2242426.23,947964.0615209795,1999.8858569888698,0.0096,27659.8101842332,0.1042,765957.058429627,7.696972801651304,0.0,119107.1429,57.8512,7.149907105268615,0.0,0.0,0.0,1.4389386654028928e-10,2009-12-31,22
50,13.0,92.86332354140531,2661678.51,0.0142,600000.0,3960000.0,2011770.3351134656,742.4631237376399,0.0142,76970.85099265409,0.1794,1972247.8788644334,13.118034971604809,0.0,118571.4286,64.4628,6.303030379753282,0.0,0.0,0.0,3.2520546201724474e-09,2010-12-31,22
51,13.0,95.519586398336,2661678.51,0.0089,1382582.0,4314455.0,2931873.0,623.7075114032237,0.0089,45194.47096649107,0.1418,2931873.0,9.735453638085813,0.0,89733.8,67.3554,2.926924314937548,0.0,0.0,0.0,2.2522903326685292e-09,2011-12-31,22
52,13.0,95.17845298824912,0.0,0.0089,1423357.0,5298393.0,3125036.0,3270.1978865986002,0.0089,70462.69828229192,0.12,2525036.0,9.244850262597202,1.0,143142.8571,68.1818,4.572460654809618,0.0,0.0,0.0,2.2510439884227767e-08,2012-12-31,22
53,13.0,96.58509386415655,74365.0,0.0063,1424261.0,3203735.0,3125036.0,1672.3668169309967,0.0089,15286.646419934628,0.0956,2525036.0,19.0535,0.0,275540.5,66.9421,2.99999994849517,0.0,0.0,0.0,0.0,2013-12-31,22
54,13.0,99.14654640189741,74365.0,0.0063,1424261.0,0.0,3125036.0,1427.5207084296046,0.0089,30490.756551303977,0.0956,2525036.0,19.0535,0.0,143171.0,66.9421,2.583420930313329,0.0,0.0,0.0,5.0547326447794325e-11,2014-12-31,22
55,13.0,96.4355399059907,127050.0,0.0045,1155000.0,2541000.0,3125036.0,3443.1368193409744,0.0089,17235.59653334422,0.0569,2525036.0,19.0535,0.0,146155.5,68.1818,2.9306871500421634,0.0,0.0,0.0,2.6412512354265525e-10,2015-12-31,22
56,13.0,97.291,127050.0,0.0054,1155000.0,2808585.0,3125036.0,5723.24,0.0089,15903.105875668316,0.0715,2525036.0,19.0535,0.0,156398.25,68.1818,4.546324112740896,0.0,0.0,0.0,3.5942993305001113e-10,2016-12-31,22
57,15.0,87.66,161700.0,0.0078,1366689.0,4222401.0,3125036.0,5456.94,0.0089,18391.27117915411,0.1117,2525036.0,19.0535,0.0,173221.0,68.595,2.2878654558685074,0.0,0.0,1.0,2.666529731513415e-09,2017-12-31,22
58,14.0,95.894,161700.0,0.0092,1470000.0,4868094.0,3125036.0,6169.5,0.0089,0.0,0.1316,2525036.0,19.0535,0.0,179460.625,67.3554,3.3191552970388796,1.0,0.0,1.0,5.93229747762721e-09,2018-12-31,22
59,12.0,97.401,161700.0,0.0084,1470000.0,5247606.0,3125036.0,6977.68,0.0089,54483.08903969085,0.1325,2525036.0,19.0535,0.0,178639.75,65.7025,3.3419528681971475,1.0,0.0,1.0,4.865819484548573e-08,2019-12-31,22
60,7.0,91.82901499214792,537214.8513536081,0.0027059088652132135,1249998.566601557,2746353.9242057125,805225.2482049332,1602.558428558737,0.0027193181083680754,0.0,0.06030896678549262,527807.8878987295,1.0573269143507353,1.3458314477396891e-05,74129.80667970292,48.5477,4.675800807021819,0.8481760771742262,0.15182399721831413,0.0,0.7169182093068293,2005-12-31,25
